ID	Synonyms	Definition	Definition in Sorani
ENG20-03908703-n	recess; niche; 	an enclosure that is set back or indented	جێ سیاج کراو کە هاتۆتە دواوە یان بۆشایی هەیە
ENG20-03915812-n	reflector; 	device that reflects radiation	ئامێرێک کە تیشک هەڵدەگەڕێنێتەوە
ENG20-03920872-n	remedy; curative; cure; 	a medicine or therapy that cures disease or relieve pain	دەوا و دەرمانێک کە نەخۆشی چا دەکاتەوە یان ئێش کەم دەکاتەوە
ENG20-03923099-n	representation; 	a creation that is a visual or tangible rendering of someone or something	بەرهەمێ کە نواندنی وێنەیی یان بەڵکەداری کەسێ یان شتێکە
ENG20-03927164-n	rest; 	a support on which things can be put	پالگەیەک کە شتانی دی لە سەری دادەنێردرێن
ENG20-03927401-n	restaurant; eating house; eating place; 	a building where people go to eat	بیناێک کە خەڵکی لە وێ خوراک دەخۆن
ENG20-03927955-n	restraint; constraint; 	a device that retards something's motion	ئامێرێک کە خێرایی جووڵانەوە کەم دەکاتەوە
ENG20-03937560-n	right field; right; 	the piece of ground in the outfield on the catcher's right	ئەو بەشەی زەوی کە لە ڕاسی گیرەر دایە
ENG20-03941718-n	road; route; 	an open way (generally public) for travel or transportation	ڕێگایەکی کراوە بۆ گەشت یان گواستنەوە ( پتر بۆ گشتی)
ENG20-03945755-n	rod; 	a long thin implement made of metal or wood	ئامێرێکی درێژی باریک لە کانزا یان چێو
ENG20-03946952-n	roller; 	a cylinder that revolves	لوولەکێک کە دەسووڕێتەوە
ENG20-03948838-n	roll of tobacco; smoke; 	tobacco leaves that have been made into a cylinder	گەلای تەماکۆ کە پێچراون و لوولە کراون
ENG20-03950188-n	roof; 	a protective covering that covers or forms the top of a building	داپۆشێکی پارێزەر کە سەری بیناێک دەپۆشنێ یان درووست دەکا
ENG20-03951013-n	room; 	an area within a building enclosed by walls and floor and ceiling	جێگایەک لە نێو ساخمان کە بە دیوار و کەفی زەوی و بنمیچ بەستراوە
ENG20-03972329-n	sail; canvas; canvass; sheet; 	a large piece of fabric (as canvas) by means of which wind is used to propel a sailing vessel	پارچەیەکی گەورەی قوماش (وەک قوماشی تایبەتی وێنە کێشان) کە با  لێ دەدا و پاپۆڕەکە دەجووڵێتەوە
ENG20-03989548-n	school; schoolhouse; 	a building where young people receive education	بیناێک کە لەوێ لاوان پەروەردە دەبن
ENG20-03994951-n	screen; cover; covert; concealment; 	a covering that serves to conceal or shelter something	داپۆشێ کە بۆ شاردنەوە یان لە پەنا خستنی شتێ بە کار دێ
ENG20-04004316-n	seat; 	furniture that is designed for sitting on	کەرستەیەک کە لە سەری دادەنیشرێ
ENG20-04005214-n	seating; seats; seating room; seating area; 	an area that includes seats for several people	جێگایەک کە کورسی لێیە بۆ چەند کەس
ENG20-04007174-n	section; segment; 	one of several parts or pieces that fit with others to constitute a whole object	یەک یان چەند بەش کە بە یەکەوە کۆ دەبنەوە و تەواوەتی شتێک پێک دێنن
ENG20-04008331-n	sedan; 	a car that is closed and that has front and rear seats and two or four doors	ئۆتۆمۆبیلێک کە بەسراوە و کورسی پێشێن و دوایی و دوو یان چوار درگای هەیە
ENG20-04008594-n	sedative; sedative drug; depressant; downer; 	a drug that reduces excitability and calms a person	دەوایەک کە زوو هەڵچوون کەم دەکاتەوە و کەسەکە هێور دەکاتەوە
ENG20-04028576-n	sheet; flat solid; 	a flat artifact that is thin relative to its length and width	دەستکردێکی تەختی باریک لە بەرانبەر درێژی و پانی دا
ENG20-04031546-n	shelter; 	a structure that provides privacy and protection from danger	پێکهاتەیەک کە گۆشەیەکی ئاسوودە و پارێزراو لە مەترسی پێک دێنێ
ENG20-04032755-n	shield; 	a protective covering or structure	پێکهاتە یان داپۆشێکی پارێزەر
ENG20-04034011-n	ship; 	a vessel that carries passengers or freight	پاپۆڕێک کە ڕێبوار یان بار لە گەڵ خۆی دەبا
ENG20-04037184-n	shirt; 	a garment worn on the upper half of the body	لێک کە لە سەر بەشی باڵای جەستە دەکرێ
ENG20-04041413-n	shooting brake; estate car; 	another name for a station wagon	نێوێکی دی بۆ ستەیشن واگۆن
ENG20-04042110-n	shop; store; 	a mercantile establishment for the retail sale of goods or services	دەمەزراوەیەکی بازرگانی بۆ تاکفرۆشیک ەل و پەل یان خزمەتکاری
ENG20-04052451-n	side; 	an extended outer surface of an object	ڕووی دەرەکی درێژی شتێ
ENG20-04057948-n	silk; 	a fabric made from the fine threads produced by certain insect larvae	قوماشێک کە لە ڕێسراوی جوانی هەندێ کرمکی مێرووەکان پێک دێ
ENG20-04068887-n	skirt; 	a garment hanging from the waist; worn mainly by girls and women	جلێک کە لە ناوقەدەوە هەڵدەواسرێ؛ پتر کچان و ژنان لەبەری دەکەن
ENG20-04071407-n	slab; 	block consisting of a thick piece of something	بلۆکێک کە لە بەشێکیئەستووری شتێ پێک هاتووە
ENG20-04079817-n	slit; 	a long narrow opening	دەرگەیەکی باریکی درێژ
ENG20-04080992-n	slot; 	a small slit (as for inserting a coin or depositing mail)	کۆنێکی بچووک (وەک بۆ وە ناو خستنی وردەیەک یان نامە)
ENG20-04082619-n	small boat; 	a boat that is small	بەلەمێ کە بچووکە
ENG20-04090419-n	soap; 	a cleansing agent made from the salts of vegetable or animal fats	بریکاری پاک کردنەوە کە لە خوێ چەوری گیایی یان حەیوانی پێک دێ
ENG20-04100476-n	source; 	a facility where something is available	ئادگارێک کە لەوێ شتێ ئامادەیە
ENG20-04100622-n	source of illumination; 	any device serving as a source of visible electromagnetic radiation	هەر ئامێرێ کە وەک سەرچاوکەی تیشکی ئاشکاری ئێلێکترۆمەگنێتیک ئیش دەکا
ENG20-04107802-n	spear; gig; fizgig; fishgig; lance; 	an implement with a shaft and barbed point used for catching fish	ئامێرێک بە دەستەکەوە و نووکی تەل دڕەوە بۆ ماسی گرتن بە کار دێ
ENG20-04120269-n	sports equipment; sporting goods; 	equipment needed to participate in a particular sport	کەرستەی پێویست بۆ بەسداری کردن لە یاریەکی تایبەت
ENG20-04130980-n	stadium; bowl; arena; sports stadium; 	a large structure for open-air sports or entertainments	پێکهاتەیەکی گەورە بۆ یاریە لە هەوای بازەکان یان سەرگەرمیەکان
ENG20-04140480-n	station; 	a facility equipped with special equipment and personnel for a particular purpose	ئادگارێ کە بە کەرستە و فەرمانبەرانی تایبەت ئامادە کراوە بۆ مەبەستێکی تایبەت
ENG20-04143666-n	steamer; steamship; 	a ship powered by one or more steam engines	کەشتیەک کە بە یەک یان چەندین ماتۆڕی هەڵمی کار دەکا
ENG20-04148940-n	step; stair; 	support consisting of a place to rest the foot while ascending or descending a stairway	پاڵگەیەک کە لە جێگایەک بۆ پشوو دانی پێ لە کاتی چوونە سەر لە پلە یان هاتنە خوارێ، پێک هاتووە
ENG20-04151342-n	stick; 	implement consisting of a length of wood	ئامێرێ کە لە درێژیەکی چێو پێک هاتووە
ENG20-04162113-n	storage space; 	the area in any structure that provides space for storage	هەر جێگایەک لە بینادا کە بۆ هەمبار کردن بە کار دێ
ENG20-04162375-n	storehouse; depot; entrepot; storage; store; 	a depository for goods	هەمباری کەل و پەل
ENG20-04168384-n	streetcar; tram; tramcar; trolley; trolley car; 	a wheeled vehicle that runs on rails and is propelled by electricity	ئۆتۆمۆبیلێکی چەرخدار کە لە سەر هێڵی ئاسن دەڕوا و بە کارەباش کار دەکا
ENG20-04171215-n	string; 	a collection of objects threaded on a single strand	کۆمەلە شتێک کە بە یەک تاڵی گۆریسەوە بەسراون
ENG20-04171373-n	stringed instrument; 	a musical instrument in which taut strings provide the source of sound	ئامێرێکی مووسیقایی کە تاڵە گرێدراوەکانی سەرچاوکەی دەنگن
ENG20-04172147-n	strip; slip; 	artifact consisting of a narrow flat piece of material	دەستکردێک لە پارچە شتێکی باریکی ساف
ENG20-04174544-n	structure; construction; 	a thing constructed; a complex construction or entity	شتێکی درووست کراو؛ پێکهاتەیەکی ئاڵۆز یان یەکەیەکی سەربەخۆ
ENG20-04179713-n	subject; content; depicted object; 	something (a person or object or scene) selected by an artist or photographer for graphic representation	شتێک ( کەسێک یان شتێک یان دیمەنێک) هەڵبژێردراوی هونەرمەندێک یان وێنەگرێک بۆ نواندنی هێڵکارانە
ENG20-04182800-n	suit; suit of clothes; 	a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color	تاقمێک جل ( کە چاکەت و شەڵوار و داوێن لە خۆی دەگرێ) بۆ لەبەر کردنی دەرەکی، هەمووی لە ڕەنگێک و قوماشێک
ENG20-04185662-n	sum; total; totality; aggregate; 	the whole amount	هەر تەواوی
ENG20-04190527-n	support; 	any device that bears the weight of another thing	هەر ئامێرێک کە قورسایی شتێکی دی ڕادەگرێ
ENG20-04191439-n	support; 	supporting structure that holds up or provides a foundation	پێکهاتەی پاڵگەیی کە بناغە ڕادەگرێ یان فەراهەم دێنێ
ENG20-04192033-n	supporting structure; 	a structure that serves to support something	پێکهاتەیەک کە پاڵپشتی شتێ دەکا
ENG20-04192963-n	surface; 	the outer boundary of an artifact or a material layer constituting or resembling such a boundary	سنووری دەرەکی دەستکردێ یان چینی مادەیەک کە لەو سنوورە دەکا
ENG20-04207742-n	system; 	instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity	ئامرازێتیەک کە دەستکردە پەیوەندیدارەکان کە لەگەڵ ئیش دەکەن تێکەڵ دەکا کە وەک یەکەیەکی یەکگرتوو ئیش بکەن
ENG20-04209815-n	table; 	a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs	پارچەیەکی کەل و پەل کە بەشی بالای تەخت و نەرمە و بە جەند پایەی ستوونی پاڵپشت ەکرێ
ENG20-04210535-n	table; 	a piece of furniture with tableware for a meal laid out on it	کەلوپەلێک کە مێزی خوراک خوەری لە خۆی دەگرێ
ENG20-04212408-n	tableware; 	articles for use at the table (dishes and silverware and glassware)	ئەو شتانەی کە لە سەر مێزەوە بە کار دێن (دەفری خواردن و کەوچک و چنگاڵ و پەڕداخ)
ENG20-04219085-n	tank; army tank; armored combat vehicle; armoured combat vehicle; 	an enclosed armored military vehicle; has a cannon and moves on caterpillar treads	ئۆتۆمۆبیلێکی بەستراوی زرێپۆش کە تۆپێکی هەیە وەک کرمۆکەی سەد پێ دەجووڵێتەوە
